SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;T+x;Starttime
2024-03-04;3415;2024-03-03 11:35:16;289496761.19;1;1;4;1;1295;1;2024-03-04 19:35:55
2024-03-04;6963;2024-03-04 19:35:54;289496761.19;4;0;1;0;1295;1;2024-03-04 19:35:55
2024-03-04;3015;2024-03-03 08:24:50;176977208.69;1;5;4;5;8047;1;2024-03-04 19:42:04
2024-03-04;6964;2024-03-04 19:42:03;176977208.69;4;0;1;0;8047;1;2024-03-04 19:42:04
2024-03-06;6079;2024-03-04 13:02:47;256762127.08;2;0;8;0;9268;2;2024-03-04 19:49:37
2024-03-06;6965;2024-03-04 19:49:36;256762127.08;8;4;2;4;9268;2;2024-03-04 19:49:37
2024-03-05;5017;2024-03-04 04:56:52;167212967.78;8;1;2;1;2635;1;2024-03-04 19:50:27
2024-03-05;6966;2024-03-04 19:50:26;167212967.78;2;0;8;0;2635;1;2024-03-04 19:50:27
2024-03-06;6086;2024-03-04 13:08:50;49451447.62;4;2;2;2;4395;2;2024-03-04 19:51:32
2024-03-06;6967;2024-03-04 19:51:31;49451447.62;2;0;4;0;4395;2;2024-03-04 19:51:32
2024-03-05;3637;2024-03-03 13:28:42;195596858.58;2;5;8;5;5237;2;2024-03-04 19:52:37
2024-03-05;6969;2024-03-04 19:52:36;195596858.58;8;0;2;0;5237;2;2024-03-04 19:52:37
2024-03-06;6002;2024-03-04 12:33:31;78541335.02;3;0;4;0;1620;2;2024-03-04 19:53:16
2024-03-06;6970;2024-03-04 19:53:15;78541335.02;4;1;3;1;1620;2;2024-03-04 19:53:16
2024-03-06;5864;2024-03-04 11:21:14;113990137.52;7;0;4;0;7682;2;2024-03-04 19:53:20
2024-03-06;6971;2024-03-04 19:53:19;113990137.52;4;1;7;1;7682;2;2024-03-04 19:53:20
2024-03-06;6573;2024-03-04 16:51:11;159754128.59;5;0;6;0;967;2;2024-03-04 19:53:50
2024-03-06;6972;2024-03-04 19:53:49;159754128.59;6;3;5;3;967;2;2024-03-04 19:53:50
2024-03-06;5192;2024-03-04 06:18:06;133807271.26;1;3;6;3;5453;2;2024-03-04 19:56:30
2024-03-06;6973;2024-03-04 19:56:29;133807271.26;6;0;1;0;5453;2;2024-03-04 19:56:30
2024-03-06;6897;2024-03-04 19:06:47;66419200.96;7;2;6;2;1154;2;2024-03-04 19:57:09
2024-03-06;6974;2024-03-04 19:57:08;66419200.96;6;0;7;0;1154;2;2024-03-04 19:57:09
2024-03-06;5475;2024-03-04 08:16:55;226575184.7;6;5;5;5;3396;2;2024-03-04 19:58:28
2024-03-06;6975;2024-03-04 19:58:27;226575184.7;5;0;6;0;3396;2;2024-03-04 19:58:28
2024-03-06;6442;2024-03-04 15:50:15;151101925.44;1;1;2;1;2597;2;2024-03-04 20:05:53
2024-03-06;6976;2024-03-04 20:05:52;151101925.44;2;0;1;0;2597;2;2024-03-04 20:05:53
2024-03-06;6750;2024-03-04 18:06:22;103720033.93;3;8;5;8;7157;2;2024-03-04 20:06:37
2024-03-06;6977;2024-03-04 20:06:36;103720033.93;5;0;3;0;7157;2;2024-03-04 20:06:37
2024-03-06;6061;2024-03-04 12:57:19;281415139.71;3;0;6;0;7693;2;2024-03-04 20:09:48
