SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;Starttime
2024-03-10;14061;2024-03-08 15:50:05;154738170.23;3;2;2;2;4875;2024-03-08 19:30:02
2024-03-10;14472;2024-03-08 19:30:00;154738170.23;2;0;3;0;4875;2024-03-08 19:30:02
2024-03-09;12006;2024-03-08 00:01:07;151609897.6;26;7;15;7;1023;2024-03-08 19:30:08
2024-03-09;14473;2024-03-08 19:30:06;151609897.6;15;0;26;0;1023;2024-03-08 19:30:08
2024-03-08;12915;2024-03-08 05:32:19;156544883.9;4;2;24;2;5712;2024-03-08 19:30:13
2024-03-08;14474;2024-03-08 19:30:11;156544883.9;24;0;4;0;5712;2024-03-08 19:30:13
2024-03-08;13732;2024-03-08 12:49:58;20093606.29;1;1;5;1;6571;2024-03-08 19:30:35
2024-03-08;14475;2024-03-08 19:30:33;20093606.29;5;0;1;0;6571;2024-03-08 19:30:35
2024-03-10;13908;2024-03-08 14:30:57;79554821.63;30;0;25;0;2150;2024-03-08 19:31:21
2024-03-10;14477;2024-03-08 19:31:19;79554821.63;25;4;30;4;2150;2024-03-08 19:31:21
2024-03-08;12084;2024-03-08 00:14:52;16103099.76;5;4;24;4;3116;2024-03-08 19:32:44
2024-03-08;14478;2024-03-08 19:32:42;16103099.76;24;0;5;0;3116;2024-03-08 19:32:44
2024-03-09;12286;2024-03-08 00:53:42;65453887.33;16;7;17;7;708;2024-03-08 19:33:06
2024-03-09;14479;2024-03-08 19:33:04;65453887.33;17;0;16;0;708;2024-03-08 19:33:06
2024-03-09;12129;2024-03-08 00:23:19;106334135.85;29;0;20;0;1616;2024-03-08 19:33:12
2024-03-09;14480;2024-03-08 19:33:10;106334135.85;20;7;29;7;1616;2024-03-08 19:33:12
2024-03-09;14416;2024-03-08 19:01:17;11201771.49;8;0;6;0;2297;2024-03-08 19:34:31
2024-03-09;14482;2024-03-08 19:34:29;11201771.49;6;2;8;2;2297;2024-03-08 19:34:31
2024-03-09;13033;2024-03-08 06:38:56;146583214.21;5;0;17;0;1655;2024-03-08 19:34:32
2024-03-09;14483;2024-03-08 19:34:30;146583214.21;17;6;5;6;1655;2024-03-08 19:34:32
2024-03-08;11551;2024-03-07 19:54:23;107094751.62;25;0;29;0;5121;2024-03-08 19:34:41
2024-03-08;14484;2024-03-08 19:34:39;107094751.62;29;3;25;3;5121;2024-03-08 19:34:41
2024-03-08;10990;2024-03-07 15:02:38;204418510.74;14;4;2;4;6997;2024-03-08 19:35:35
2024-03-08;14485;2024-03-08 19:35:33;204418510.74;2;0;14;0;6997;2024-03-08 19:35:35
2024-03-08;13619;2024-03-08 11:49:51;148521984.21;15;5;27;5;2317;2024-03-08 19:36:21
2024-03-08;14486;2024-03-08 19:36:19;148521984.21;27;0;15;0;2317;2024-03-08 19:36:21
2024-03-07;10328;2024-03-07 08:43:03;168944871.39;30;0;23;0;4550;2024-03-08 19:36:31
2024-03-07;14487;2024-03-08 19:36:29;168944871.39;23;3;30;3;4550;2024-03-08 19:36:31
2024-03-08;12661;2024-03-08 03:13:05;147015136.12;1;4;19;4;2500;2024-03-08 19:36:57
2024-03-08;14488;2024-03-08 19:36:55;147015136.12;19;0;1;0;2500;2024-03-08 19:36:57
2024-03-09;14290;2024-03-08 17:58:01;67040825.89;1;0;28;0;5922;2024-03-08 19:36:58
2024-03-09;14489;2024-03-08 19:36:56;67040825.89;28;2;1;2;5922;2024-03-08 19:36:58
2024-03-08;12654;2024-03-08 03:07:12;390062464.93;5;3;27;3;4101;2024-03-08 19:37:02
2024-03-08;14490;2024-03-08 19:37:00;390062464.93;27;0;5;0;4101;2024-03-08 19:37:02
2024-03-08;12042;2024-03-08 00:07:20;228278969.17;12;1;19;1;7302;2024-03-08 19:37:06
2024-03-08;14491;2024-03-08 19:37:04;228278969.17;19;0;12;0;7302;2024-03-08 19:37:06
2024-03-07;10760;2024-03-07 12:45:39;102805765.17;17;4;26;4;4637;2024-03-08 19:37:17
2024-03-07;14493;2024-03-08 19:37:15;102805765.17;26;0;17;0;4637;2024-03-08 19:37:17
2024-03-09;12650;2024-03-08 03:05:20;145687969.86;24;0;11;0;3747;2024-03-08 19:37:26
2024-03-09;14494;2024-03-08 19:37:24;145687969.86;11;7;24;7;3747;2024-03-08 19:37:26
2024-03-09;13637;2024-03-08 12:02:24;26938106.1;17;0;23;0;2555;2024-03-08 19:38:09
2024-03-09;14495;2024-03-08 19:38:07;26938106.1;23;1;17;1;2555;2024-03-08 19:38:09
2024-03-09;13825;2024-03-08 13:38:46;145815299.55;7;3;29;3;5884;2024-03-08 19:38:51
2024-03-09;14496;2024-03-08 19:38:49;145815299.55;29;0;7;0;5884;2024-03-08 19:38:51
2024-03-08;14195;2024-03-08 17:05:48;386545364.96;2;0;14;0;3272;2024-03-08 19:39:01
2024-03-08;14497;2024-03-08 19:38:59;386545364.96;14;4;2;4;3272;2024-03-08 19:39:01
2024-03-08;13369;2024-03-08 09:34:03;51209214.0;21;5;8;5;5619;2024-03-08 19:39:06
2024-03-08;14498;2024-03-08 19:39:04;51209214.0;8;0;21;0;5619;2024-03-08 19:39:06
2024-03-08;13677;2024-03-08 12:24:09;367984835.54;2;0;20;0;4517;2024-03-08 19:40:19
2024-03-08;14499;2024-03-08 19:40:17;367984835.54;20;2;2;2;4517;2024-03-08 19:40:19
2024-03-09;13781;2024-03-08 13:14:20;129928838.95;28;0;18;0;6533;2024-03-08 19:40:44
2024-03-09;14501;2024-03-08 19:40:42;129928838.95;18;4;28;4;6533;2024-03-08 19:40:44
2024-03-08;13370;2024-03-08 09:34:50;83322936.28;17;0;3;0;4218;2024-03-08 19:41:32
2024-03-08;14502;2024-03-08 19:41:30;83322936.28;3;6;17;6;4218;2024-03-08 19:41:32
2024-03-10;14407;2024-03-08 18:55:41;178513480.72;20;1;2;1;5131;2024-03-08 19:43:43
2024-03-10;14505;2024-03-08 19:43:41;178513480.72;2;0;20;0;5131;2024-03-08 19:43:43
2024-03-09;11635;2024-03-07 20:35:57;171445011.56;25;6;9;6;134;2024-03-08 19:44:17
2024-03-09;14508;2024-03-08 19:44:15;171445011.56;9;0;25;0;134;2024-03-08 19:44:17
2024-03-08;13553;2024-03-08 11:07:14;153210360.38;7;5;29;5;613;2024-03-08 19:45:39
2024-03-08;14510;2024-03-08 19:45:37;153210360.38;29;0;7;0;613;2024-03-08 19:45:39
2024-03-09;12605;2024-03-08 02:37:09;130677098.15;9;0;25;0;3554;2024-03-08 19:45:40
2024-03-09;14511;2024-03-08 19:45:38;130677098.15;25;5;9;5;3554;2024-03-08 19:45:40
2024-03-09;14060;2024-03-08 15:49:31;94926349.28;30;0;24;0;1562;2024-03-08 19:46:56
