Starttime;SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode
2024-03-06 19:20:00;2024-03-06;6205;2024-03-06 00:21:25;401828443.21;7;0;19;0;1877
2024-03-06 19:20:00;2024-03-06;8400;2024-03-06 18:36:48;401828443.21;19;3;7;3;1877
2024-03-06 19:20:00;2024-03-05;2755;2024-03-04 21:55:54;232927788.45;30;0;12;0;5109
2024-03-06 19:20:00;2024-03-05;5062;2024-03-05 15:11:39;232927788.45;12;2;30;2;5109
2024-03-06 19:20:00;2024-03-06;3312;2024-03-05 00:57:02;199555883.11;30;0;14;0;2420
2024-03-06 19:20:00;2024-03-06;5914;2024-03-05 22:36:22;199555883.11;14;7;30;7;2420
2024-03-06 19:20:00;2024-03-06;3011;2024-03-05 00:04:47;126100098.97;5;1;30;1;1945
2024-03-06 19:20:00;2024-03-06;6030;2024-03-05 23:35:03;126100098.97;30;0;5;0;1945
2024-03-06 19:20:00;2024-03-06;6422;2024-03-06 01:03:18;408750494.41;30;5;7;5;1558
2024-03-06 19:20:00;2024-03-06;7602;2024-03-06 11:05:42;408750494.41;7;0;30;0;1558
2024-03-06 19:20:00;2024-03-06;6554;2024-03-06 01:24:52;351781293.88;27;0;2;0;6413
2024-03-06 19:20:00;2024-03-06;8298;2024-03-06 17:33:29;351781293.88;2;5;27;5;6413
2024-03-06 19:20:00;2024-03-04;1948;2024-03-04 14:47:40;359966071.94;2;0;9;0;7251
2024-03-06 19:20:00;2024-03-04;4930;2024-03-05 14:09:29;359966071.94;9;7;2;7;7251
2024-03-06 19:20:00;2024-03-05;3783;2024-03-05 04:00:56;507655048.85;6;5;2;5;1318
2024-03-06 19:20:00;2024-03-05;4707;2024-03-05 12:15:09;507655048.85;2;0;6;0;1318
2024-03-06 19:20:00;2024-03-04;1402;2024-03-04 09:28:01;328966395.31;20;6;2;6;5205
2024-03-06 19:20:00;2024-03-04;5614;2024-03-05 19:43:07;328966395.31;2;0;20;0;5205
2024-03-06 19:20:00;2024-03-05;4313;2024-03-05 08:52:23;146697592.28;21;1;2;1;5928
2024-03-06 19:20:00;2024-03-05;5634;2024-03-05 19:52:21;146697592.28;2;0;21;0;5928
2024-03-06 19:20:00;2024-03-06;5532;2024-03-05 18:59:10;235136523.25;26;4;2;4;4430
2024-03-06 19:20:00;2024-03-06;5667;2024-03-05 20:13:54;235136523.25;2;0;26;0;4430
2024-03-06 19:20:00;2024-03-05;3866;2024-03-05 04:51:18;488545479.71;2;0;3;0;1666
2024-03-06 19:20:00;2024-03-05;5687;2024-03-05 20:26:12;488545479.71;3;3;2;3;1666
2024-03-06 19:20:00;2024-03-06;5220;2024-03-05 16:28:55;478090494.56;17;3;2;3;5860
2024-03-06 19:20:00;2024-03-06;5932;2024-03-05 22:46:28;478090494.56;2;0;17;0;5860
2024-03-06 19:20:00;2024-03-05;5293;2024-03-05 17:00:35;346903329.38;7;1;2;1;2065
2024-03-06 19:20:00;2024-03-05;5951;2024-03-05 22:53:19;346903329.38;2;0;7;0;2065
2024-03-06 19:20:00;2024-03-06;3993;2024-03-05 06:02:09;337170543.87;25;7;2;7;4489
2024-03-06 19:20:00;2024-03-06;5993;2024-03-05 23:15:05;337170543.87;2;0;25;0;4489
2024-03-06 19:20:00;2024-03-05;3018;2024-03-05 00:06:49;140711800.61;2;0;21;0;65
2024-03-06 19:20:00;2024-03-05;6029;2024-03-05 23:35:00;140711800.61;21;1;2;1;65
2024-03-06 19:20:00;2024-03-06;6570;2024-03-06 01:27:33;101481812.48;20;8;2;8;4728
2024-03-06 19:20:00;2024-03-06;7059;2024-03-06 06:02:16;101481812.48;2;0;20;0;4728
2024-03-06 19:20:00;2024-03-06;5896;2024-03-05 22:29:02;479447495.02;21;2;2;2;1602
2024-03-06 19:20:00;2024-03-06;7141;2024-03-06 06:55:12;479447495.02;2;0;21;0;1602
2024-03-06 19:20:00;2024-03-06;3846;2024-03-05 04:36:35;394034531.28;2;0;29;0;383
2024-03-06 19:20:00;2024-03-06;7347;2024-03-06 08:46:37;394034531.28;29;7;2;7;383
2024-03-06 19:20:00;2024-03-06;7574;2024-03-06 10:52:51;266249306.05;2;0;9;0;7354
2024-03-06 19:20:00;2024-03-06;7852;2024-03-06 13:24:19;266249306.05;9;4;2;4;7354
2024-03-06 19:20:00;2024-03-06;8248;2024-03-06 17:05:51;442387104.43;2;0;9;0;7107
2024-03-06 19:20:00;2024-03-06;8300;2024-03-06 17:34:12;442387104.43;9;3;2;3;7107
