Starttime;SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;T+x
2024-03-07 19:20:00;2024-03-04;1147;2024-03-02 12:53:38;311096923.19;6;0;5;0;4534;2
2024-03-07 19:20:00;2024-03-04;1851;2024-03-02 19:29:11;311096923.19;5;3;6;3;4534;2
2024-03-07 19:20:00;2024-03-04;1344;2024-03-02 14:43:43;148204747.17;5;3;6;3;6533;2
2024-03-07 19:20:00;2024-03-04;2248;2024-03-03 04:01:10;148204747.17;6;0;5;0;6533;2
2024-03-07 19:20:00;2024-03-05;2279;2024-03-03 04:16:08;255930846.6;5;3;6;3;7885;2
2024-03-07 19:20:00;2024-03-05;2717;2024-03-03 07:56:42;255930846.6;6;0;5;0;7885;2
2024-03-07 19:20:00;2024-03-05;2112;2024-03-03 02:41:24;253698496.66;4;0;5;0;3652;2
2024-03-07 19:20:00;2024-03-05;2925;2024-03-03 09:42:44;253698496.66;5;3;4;3;3652;2
2024-03-07 19:20:00;2024-03-05;2981;2024-03-03 10:15:33;252041961.23;6;0;5;0;5549;2
2024-03-07 19:20:00;2024-03-05;3002;2024-03-03 10:24:38;252041961.23;5;3;6;3;5549;2
2024-03-07 19:20:00;2024-03-05;2616;2024-03-03 07:04:42;107481741.93;5;3;4;3;8690;2
2024-03-07 19:20:00;2024-03-05;3066;2024-03-03 10:52:30;107481741.93;4;0;5;0;8690;2
2024-03-07 19:20:00;2024-03-05;3129;2024-03-03 11:30:18;161252452.86;4;0;5;0;3184;2
2024-03-07 19:20:00;2024-03-05;3466;2024-03-03 14:45:25;161252452.86;5;3;4;3;3184;2
2024-03-07 19:20:00;2024-03-05;3250;2024-03-03 12:38:35;370828227.48;5;3;2;3;4673;2
2024-03-07 19:20:00;2024-03-05;3960;2024-03-03 18:57:59;370828227.48;2;0;5;0;4673;2
2024-03-07 19:20:00;2024-03-05;2140;2024-03-03 03:02:30;120153951.44;6;0;5;0;2002;2
2024-03-07 19:20:00;2024-03-05;4096;2024-03-03 22:31:04;120153951.44;5;3;6;3;2002;2
2024-03-07 19:20:00;2024-03-05;4180;2024-03-04 01:31:09;191535157.65;5;3;7;3;5847;1
2024-03-07 19:20:00;2024-03-05;5086;2024-03-04 09:30:32;191535157.65;7;0;5;0;5847;1
2024-03-07 19:20:00;2024-03-05;3508;2024-03-03 15:06:09;412089112.16;5;3;4;3;5632;2
2024-03-07 19:20:00;2024-03-05;5977;2024-03-04 16:46:36;412089112.16;4;0;5;0;5632;2
2024-03-07 19:20:00;2024-03-06;4495;2024-03-04 04:13:14;170055072.12;2;0;5;0;1180;2
2024-03-07 19:20:00;2024-03-06;5075;2024-03-04 09:22:08;170055072.12;5;3;2;3;1180;2
2024-03-07 19:20:00;2024-03-06;4290;2024-03-04 02:27:35;302619273.33;2;0;5;0;4157;2
2024-03-07 19:20:00;2024-03-06;6164;2024-03-04 18:21:30;302619273.33;5;3;2;3;4157;2
2024-03-07 19:20:00;2024-03-06;5653;2024-03-04 14:10:23;278424751.95;5;3;6;3;1087;2
2024-03-07 19:20:00;2024-03-06;6884;2024-03-05 05:16:00;278424751.95;6;0;5;0;1087;2
2024-03-07 19:20:00;2024-03-06;5970;2024-03-04 16:41:58;209960752.76;5;3;2;3;4078;2
2024-03-07 19:20:00;2024-03-06;7091;2024-03-05 06:52:39;209960752.76;2;0;5;0;4078;2
2024-03-07 19:20:00;2024-03-06;4231;2024-03-04 01:54:35;292389110.82;5;3;4;3;5204;2
2024-03-07 19:20:00;2024-03-06;7585;2024-03-05 10:57:29;292389110.82;4;0;5;0;5204;2
2024-03-07 19:20:00;2024-03-06;4609;2024-03-04 05:08:55;83937901.11;5;3;7;3;7343;2
2024-03-07 19:20:00;2024-03-06;7594;2024-03-05 11:01:06;83937901.11;7;0;5;0;7343;2
2024-03-07 19:20:00;2024-03-07;6650;2024-03-05 03:18:58;149049801.36;5;3;4;3;1769;2
2024-03-07 19:20:00;2024-03-07;7142;2024-03-05 07:28:37;149049801.36;4;0;5;0;1769;2
2024-03-07 19:20:00;2024-03-07;7101;2024-03-05 06:58:26;252834712.35;4;0;5;0;5052;2
2024-03-07 19:20:00;2024-03-07;8058;2024-03-05 14:57:14;252834712.35;5;3;4;3;5052;2
2024-03-07 19:20:00;2024-03-07;6467;2024-03-05 01:44:53;67369502.0;5;3;3;3;1112;2
2024-03-07 19:20:00;2024-03-07;8115;2024-03-05 15:22:05;67369502.0;3;0;5;0;1112;2
2024-03-07 19:20:00;2024-03-07;8261;2024-03-05 16:39:29;293049931.68;5;3;4;3;2315;2
2024-03-07 19:20:00;2024-03-07;8406;2024-03-05 17:51:04;293049931.68;4;0;5;0;2315;2
2024-03-07 19:20:00;2024-03-07;7876;2024-03-05 13:24:36;371661612.19;4;0;5;0;6003;2
2024-03-07 19:20:00;2024-03-07;8505;2024-03-05 18:37:21;371661612.19;5;3;4;3;6003;2
2024-03-07 19:20:00;2024-03-07;6941;2024-03-05 05:39:55;155862449.28;5;3;7;3;4869;2
2024-03-07 19:20:00;2024-03-07;9476;2024-03-06 07:49:51;155862449.28;7;0;5;0;4869;2
2024-03-07 19:20:00;2024-03-07;9958;2024-03-06 11:44:11;30223968.32;1;0;5;0;3671;1
2024-03-07 19:20:00;2024-03-07;10018;2024-03-06 12:13:36;30223968.32;5;3;1;3;3671;1
2024-03-07 19:20:00;2024-03-05;5550;2024-03-04 13:25:25;160969823.69;8;3;5;3;3073;1
2024-03-07 19:20:00;2024-03-05;7408;2024-03-05 09:40:43;160969823.69;5;0;8;0;3073;1
2024-03-07 19:20:00;2024-03-06;4344;2024-03-04 02:54:48;192459487.98;5;0;8;0;8124;2
2024-03-07 19:20:00;2024-03-06;4441;2024-03-04 03:44:40;192459487.98;8;3;5;3;8124;2
2024-03-07 19:20:00;2024-03-06;4353;2024-03-04 03:00:18;182186715.54;8;3;5;3;1720;2
2024-03-07 19:20:00;2024-03-06;6033;2024-03-04 17:13:48;182186715.54;5;0;8;0;1720;2
2024-03-07 19:20:00;2024-03-06;7026;2024-03-05 06:14:55;215249873.18;5;0;8;0;3520;1
2024-03-07 19:20:00;2024-03-06;7506;2024-03-05 10:21:17;215249873.18;8;3;5;3;3520;1
2024-03-07 19:20:00;2024-03-06;8385;2024-03-05 17:42:39;196139544.66;8;3;5;3;4150;1
2024-03-07 19:20:00;2024-03-06;9421;2024-03-06 07:19:36;196139544.66;5;0;8;0;4150;1
2024-03-07 19:20:00;2024-03-06;6930;2024-03-05 05:35:13;51589083.91;8;3;5;3;2983;1
2024-03-07 19:20:00;2024-03-06;9888;2024-03-06 11:20:05;51589083.91;5;0;8;0;2983;1
2024-03-07 19:20:00;2024-03-04;1049;2024-03-02 11:47:58;107927456.88;5;0;8;0;3063;2
2024-03-07 19:20:00;2024-03-04;1626;2024-03-02 17:25:53;107927456.88;8;7;5;7;3063;2
2024-03-07 19:20:00;2024-03-04;1195;2024-03-02 13:20:22;154176522.43;8;7;5;7;7696;2
2024-03-07 19:20:00;2024-03-04;2355;2024-03-03 04:54:26;154176522.43;5;0;8;0;7696;2
2024-03-07 19:20:00;2024-03-04;907;2024-03-02 10:21:30;155380219.69;8;7;5;7;4286;2
2024-03-07 19:20:00;2024-03-04;2613;2024-03-03 07:04:13;155380219.69;5;0;8;0;4286;2
2024-03-07 19:20:00;2024-03-04;3056;2024-03-03 10:47:51;145544749.13;8;7;5;7;4593;1
2024-03-07 19:20:00;2024-03-04;3274;2024-03-03 12:46:40;145544749.13;5;0;8;0;4593;1
2024-03-07 19:20:00;2024-03-04;363;2024-03-02 04:47:43;142979717.42;8;7;5;7;549;2
2024-03-07 19:20:00;2024-03-04;3789;2024-03-03 17:32:08;142979717.42;5;0;8;0;549;2
2024-03-07 19:20:00;2024-03-05;2084;2024-03-03 02:27:33;132648893.44;8;7;5;7;7753;2
2024-03-07 19:20:00;2024-03-05;2579;2024-03-03 06:51:58;132648893.44;5;0;8;0;7753;2
2024-03-07 19:20:00;2024-03-05;2116;2024-03-03 02:47:14;149059816.0;8;7;5;7;1998;2
2024-03-07 19:20:00;2024-03-05;3958;2024-03-03 18:57:22;149059816.0;5;0;8;0;1998;2
2024-03-07 19:20:00;2024-03-05;2488;2024-03-03 06:04:25;185145481.45;8;7;5;7;5289;2
2024-03-07 19:20:00;2024-03-05;4385;2024-03-04 03:17:39;185145481.45;5;0;8;0;5289;2
2024-03-07 19:20:00;2024-03-05;5666;2024-03-04 14:15:32;80324420.47;8;7;5;7;1225;1
2024-03-07 19:20:00;2024-03-05;6631;2024-03-05 03:07:58;80324420.47;5;0;8;0;1225;1
2024-03-07 19:20:00;2024-03-05;5563;2024-03-04 13:33:19;176706502.01;8;7;5;7;459;1
