Starttime;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode
2024-01-01 01:49:49;1;2024-01-01 00:12:11;73465491.02;3;1;2;1;185
2024-01-01 01:49:49;17;2024-01-01 01:49:43;73465491.02;2;0;3;0;185
2024-01-01 01:50:00;10;2024-01-01 01:38:35;42671447.75;2;0;3;0;111
2024-01-01 01:50:00;18;2024-01-01 01:49:54;42671447.75;3;3;2;3;111
2024-01-01 02:26:38;41;2024-01-01 02:22:37;33591844.83;1;0;2;0;75
2024-01-01 02:26:38;43;2024-01-01 02:26:32;33591844.83;2;2;1;2;75
2024-01-01 02:27:01;24;2024-01-01 01:57:17;79736893.55;1;2;2;2;121
2024-01-01 02:27:01;44;2024-01-01 02:26:55;79736893.55;2;0;1;0;121
2024-01-01 02:38:56;3;2024-01-01 00:50:24;116887357.34;1;3;2;3;54
2024-01-01 02:38:56;49;2024-01-01 02:38:50;116887357.34;2;0;1;0;54
2024-01-01 02:40:15;13;2024-01-01 01:43:53;112309866.77;1;1;2;1;20
2024-01-01 02:40:15;50;2024-01-01 02:40:09;112309866.77;2;0;1;0;20
2024-01-01 03:06:32;58;2024-01-01 02:52:20;94485094.61;2;0;1;0;171
2024-01-01 03:06:32;66;2024-01-01 03:06:26;94485094.61;1;1;2;1;171
2024-01-01 03:11:55;31;2024-01-01 02:03:52;88251290.32;3;2;2;2;120
2024-01-01 03:11:55;69;2024-01-01 03:11:49;88251290.32;2;0;3;0;120
2024-01-01 03:47:22;22;2024-01-01 01:55:45;33132008.72;2;2;1;2;43
2024-01-01 03:47:22;82;2024-01-01 03:47:16;33132008.72;1;0;2;0;43
2024-01-01 03:55:31;48;2024-01-01 02:36:50;28259871.53;2;2;1;2;31
2024-01-01 03:55:31;88;2024-01-01 03:55:25;28259871.53;1;0;2;0;31
2024-01-01 03:58:45;34;2024-01-01 02:09:24;121248426.98;1;3;2;3;129
2024-01-01 03:58:45;90;2024-01-01 03:58:39;121248426.98;2;0;1;0;129
2024-01-01 04:21:40;32;2024-01-01 02:06:49;30724754.73;3;1;2;1;52
2024-01-01 04:21:40;99;2024-01-01 04:21:34;30724754.73;2;0;3;0;52
2024-01-01 04:22:52;14;2024-01-01 01:44:30;136801052.07;2;0;3;0;163
2024-01-01 04:22:52;100;2024-01-01 04:22:46;136801052.07;3;2;2;2;163
2024-01-01 04:27:31;95;2024-01-01 04:08:14;30778165.33;3;2;1;2;17
2024-01-01 04:27:31;102;2024-01-01 04:27:25;30778165.33;1;0;3;0;17
