Starttime;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;SettlementDeadline
2024-03-06 01:30:02;5345;2024-03-05 17:30:30;212431218.35;1;4;15;4;4403;2024-03-05
2024-03-06 01:30:02;5595;2024-03-05 19:30:56;212431218.35;15;0;1;0;4403;2024-03-05
2024-03-06 01:30:02;5231;2024-03-05 16:33:13;134570590.62;13;8;22;8;6963;2024-03-06
2024-03-06 01:30:02;5596;2024-03-05 19:31:48;134570590.62;22;0;13;0;6963;2024-03-06
2024-03-06 01:30:02;3326;2024-03-05 00:59:04;187226900.48;4;0;20;0;4134;2024-03-05
2024-03-06 01:30:02;5597;2024-03-05 19:33:08;187226900.48;20;4;4;4;4134;2024-03-05
2024-03-06 01:30:02;402;2024-03-04 01:12:35;81802931.25;7;0;21;0;1219;2024-03-05
2024-03-06 01:30:02;5598;2024-03-05 19:34:03;81802931.25;21;3;7;3;1219;2024-03-05
2024-03-06 01:30:02;3317;2024-03-05 00:57:55;111335229.09;17;5;14;5;1932;2024-03-05
2024-03-06 01:30:02;5602;2024-03-05 19:35:20;111335229.09;14;0;17;0;1932;2024-03-05
2024-03-06 01:30:02;3922;2024-03-05 05:24:13;131557633.63;25;7;20;7;4329;2024-03-05
2024-03-06 01:30:02;5603;2024-03-05 19:35:52;131557633.63;20;0;25;0;4329;2024-03-05
2024-03-06 01:30:02;2156;2024-03-04 16:35:51;43328883.7;8;5;24;5;3951;2024-03-04
2024-03-06 01:30:02;5604;2024-03-05 19:36:54;43328883.7;24;0;8;0;3951;2024-03-04
2024-03-06 01:30:02;4005;2024-03-05 06:10:05;38629724.88;30;6;4;6;5866;2024-03-05
2024-03-06 01:30:02;5606;2024-03-05 19:37:27;38629724.88;4;0;30;0;5866;2024-03-05
2024-03-06 01:30:02;4678;2024-03-05 11:59:29;102435477.66;19;0;14;0;4357;2024-03-05
2024-03-06 01:30:02;5607;2024-03-05 19:37:32;102435477.66;14;3;19;3;4357;2024-03-05
2024-03-06 01:30:02;4429;2024-03-05 09:53:10;118879556.9;18;7;1;7;829;2024-03-06
2024-03-06 01:30:02;5608;2024-03-05 19:38:29;118879556.9;1;0;18;0;829;2024-03-06
2024-03-06 01:30:02;4517;2024-03-05 10:37:23;210389488.5;27;6;4;6;6698;2024-03-06
2024-03-06 01:30:02;5611;2024-03-05 19:40:55;210389488.5;4;0;27;0;6698;2024-03-06
2024-03-06 01:30:02;715;2024-03-04 03:33:21;118473584.67;6;7;24;7;3270;2024-03-04
2024-03-06 01:30:02;5616;2024-03-05 19:44:54;118473584.67;24;0;6;0;3270;2024-03-04
2024-03-06 01:30:02;4386;2024-03-05 09:36:19;57671096.25;5;0;21;0;2743;2024-03-05
2024-03-06 01:30:02;5618;2024-03-05 19:45:31;57671096.25;21;4;5;4;2743;2024-03-05
2024-03-06 01:30:02;5026;2024-03-05 14:55:28;115607385.12;18;0;7;0;5002;2024-03-05
2024-03-06 01:30:02;5619;2024-03-05 19:46:11;115607385.12;7;2;18;2;5002;2024-03-05
2024-03-06 01:30:02;3398;2024-03-05 01:11:41;150446267.8;19;6;11;6;2214;2024-03-05
2024-03-06 01:30:02;5621;2024-03-05 19:46:30;150446267.8;11;0;19;0;2214;2024-03-05
2024-03-06 01:30:02;4873;2024-03-05 13:42:38;222249703.19;27;5;17;5;4779;2024-03-05
2024-03-06 01:30:02;5622;2024-03-05 19:47:35;222249703.19;17;0;27;0;4779;2024-03-05
2024-03-06 01:30:02;3047;2024-03-05 00:11:47;70424059.88;1;4;11;4;7209;2024-03-06
2024-03-06 01:30:02;5624;2024-03-05 19:48:02;70424059.88;11;0;1;0;7209;2024-03-06
2024-03-06 01:30:02;174;2024-03-04 00:33:21;85232432.09;18;6;24;6;2425;2024-03-05
2024-03-06 01:30:02;5625;2024-03-05 19:48:05;85232432.09;24;0;18;0;2425;2024-03-05
2024-03-06 01:30:02;3803;2024-03-05 04:11:38;43829102.07;4;0;10;0;638;2024-03-06
2024-03-06 01:30:02;5626;2024-03-05 19:48:06;43829102.07;10;3;4;3;638;2024-03-06
2024-03-06 01:30:02;2984;2024-03-05 00:00:07;43351331.77;7;1;9;1;3491;2024-03-05
2024-03-06 01:30:02;5627;2024-03-05 19:48:43;43351331.77;9;0;7;0;3491;2024-03-05
2024-03-06 01:30:02;5297;2024-03-05 17:03:16;91141414.19;26;0;22;0;2736;2024-03-05
2024-03-06 01:30:02;5628;2024-03-05 19:49:32;91141414.19;22;3;26;3;2736;2024-03-05
2024-03-06 01:30:02;4307;2024-03-05 08:49:09;155598509.9;12;0;19;0;1542;2024-03-05
2024-03-06 01:30:02;5629;2024-03-05 19:50:24;155598509.9;19;1;12;1;1542;2024-03-05
2024-03-06 01:30:02;4026;2024-03-05 06:20:33;105069127.55;25;0;17;0;4422;2024-03-05
2024-03-06 01:30:02;5630;2024-03-05 19:50:58;105069127.55;17;5;25;5;4422;2024-03-05
2024-03-06 01:30:02;4116;2024-03-05 07:00:33;50508897.11;2;8;9;8;5137;2024-03-05
2024-03-06 01:30:02;5631;2024-03-05 19:51:05;50508897.11;9;0;2;0;5137;2024-03-05
2024-03-06 01:30:02;3830;2024-03-05 04:30:02;79281324.03;8;0;13;0;6542;2024-03-06
2024-03-06 01:30:02;5633;2024-03-05 19:51:40;79281324.03;13;4;8;4;6542;2024-03-06
2024-03-06 01:30:02;4313;2024-03-05 08:52:23;146697592.28;21;1;2;1;5928;2024-03-05
2024-03-06 01:30:02;5634;2024-03-05 19:52:21;146697592.28;2;0;21;0;5928;2024-03-05
2024-03-06 01:30:02;3463;2024-03-05 01:22:53;54264270.12;3;4;30;4;3516;2024-03-05
2024-03-06 01:30:02;5635;2024-03-05 19:52:56;54264270.12;30;0;3;0;3516;2024-03-05
2024-03-06 01:30:02;4451;2024-03-05 09:58:31;117325011.32;1;7;15;7;2207;2024-03-05
2024-03-06 01:30:02;5637;2024-03-05 19:53:29;117325011.32;15;0;1;0;2207;2024-03-05
2024-03-06 01:30:02;4746;2024-03-05 12:37:51;52940075.13;22;0;10;0;1642;2024-03-06
2024-03-06 01:30:02;5640;2024-03-05 19:55:21;52940075.13;10;5;22;5;1642;2024-03-06
2024-03-06 01:30:02;5454;2024-03-05 18:21:19;112323015.0;9;0;1;0;1652;2024-03-06
2024-03-06 01:30:02;5642;2024-03-05 19:56:30;112323015.0;1;8;9;8;1652;2024-03-06
2024-03-06 01:30:02;4367;2024-03-05 09:26:03;162555432.77;20;0;25;0;3954;2024-03-05
2024-03-06 01:30:02;5643;2024-03-05 19:56:35;162555432.77;25;3;20;3;3954;2024-03-05
2024-03-06 01:30:02;4079;2024-03-05 06:43:26;33851251.05;16;8;1;8;5875;2024-03-05
2024-03-06 01:30:02;5644;2024-03-05 19:59:03;33851251.05;1;0;16;0;5875;2024-03-05
2024-03-06 01:30:02;3662;2024-03-05 02:54:48;26338779.32;7;7;25;7;3109;2024-03-05
2024-03-06 01:30:02;5645;2024-03-05 19:59:41;26338779.32;25;0;7;0;3109;2024-03-05
2024-03-06 01:30:02;2992;2024-03-05 00:01:57;191416144.87;6;0;12;0;5758;2024-03-05
2024-03-06 01:30:02;5646;2024-03-05 19:59:56;191416144.87;12;1;6;1;5758;2024-03-05
