Starttime;SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;T+x
2024-03-07 00:00:02;2024-03-07;959;2024-03-05 01:33:32;301797214.52;6;6;4;6;4;2
2024-03-07 00:00:02;2024-03-07;974;2024-03-05 02:44:22;301797214.52;4;0;6;0;4;2
2024-03-07 00:00:02;2024-03-07;964;2024-03-05 02:14:36;43913689.52;1;0;4;0;1015;2
2024-03-07 00:00:02;2024-03-07;976;2024-03-05 02:45:28;43913689.52;4;1;1;1;1015;2
2024-03-07 00:00:02;2024-03-07;953;2024-03-05 00:43:44;118022067.81;8;0;7;0;1308;2
2024-03-07 00:00:02;2024-03-07;982;2024-03-05 02:50:20;118022067.81;7;5;8;5;1308;2
2024-03-07 00:00:02;2024-03-07;983;2024-03-05 02:51:30;212874540.24;7;2;6;2;183;2
2024-03-07 00:00:02;2024-03-07;986;2024-03-05 03:01:13;212874540.24;6;0;7;0;183;2
2024-03-07 00:00:02;2024-03-07;998;2024-03-05 03:50:01;56932985.71;7;5;8;5;93;2
2024-03-07 00:00:02;2024-03-07;1026;2024-03-05 05:42:53;56932985.71;8;0;7;0;93;2
2024-03-07 00:00:02;2024-03-07;1010;2024-03-05 04:42:34;172986901.95;6;5;4;5;577;2
2024-03-07 00:00:02;2024-03-07;1038;2024-03-05 06:38:25;172986901.95;4;0;6;0;577;2
2024-03-07 00:00:02;2024-03-07;1035;2024-03-05 06:21:48;68849063.85;5;7;2;7;1177;2
2024-03-07 00:00:02;2024-03-07;1044;2024-03-05 07:04:50;68849063.85;2;0;5;0;1177;2
2024-03-07 00:00:02;2024-03-07;1003;2024-03-05 04:06:52;207432040.18;3;5;5;5;890;2
2024-03-07 00:00:02;2024-03-07;1061;2024-03-05 08:10:34;207432040.18;5;0;3;0;890;2
2024-03-07 00:00:02;2024-03-07;1036;2024-03-05 06:24:05;29490942.39;1;6;8;6;253;2
2024-03-07 00:00:02;2024-03-07;1064;2024-03-05 08:20:31;29490942.39;8;0;1;0;253;2
2024-03-07 00:00:02;2024-03-07;1039;2024-03-05 06:38:59;49720925.42;4;8;8;8;528;2
2024-03-07 00:00:02;2024-03-07;1066;2024-03-05 08:38:24;49720925.42;8;0;4;0;528;2
2024-03-07 00:00:02;2024-03-07;970;2024-03-05 02:29:02;100816400.08;6;6;1;6;64;2
2024-03-07 00:00:02;2024-03-07;1073;2024-03-05 09:03:57;100816400.08;1;0;6;0;64;2
2024-03-07 00:00:02;2024-03-07;1049;2024-03-05 07:33:07;238827665.61;5;0;1;0;1422;2
2024-03-07 00:00:02;2024-03-07;1077;2024-03-05 09:14:19;238827665.61;1;6;5;6;1422;2
2024-03-07 00:00:02;2024-03-07;1021;2024-03-05 05:20:43;123822226.96;3;1;1;1;1354;2
2024-03-07 00:00:02;2024-03-07;1078;2024-03-05 09:15:18;123822226.96;1;0;3;0;1354;2
2024-03-07 00:00:02;2024-03-07;994;2024-03-05 03:31:49;189390182.25;5;8;1;8;79;2
2024-03-07 00:00:02;2024-03-07;1082;2024-03-05 09:37:13;189390182.25;1;0;5;0;79;2
2024-03-07 00:00:02;2024-03-07;978;2024-03-05 02:46:02;179968159.5;3;1;5;1;1055;2
2024-03-07 00:00:02;2024-03-07;1084;2024-03-05 09:43:34;179968159.5;5;0;3;0;1055;2
2024-03-07 00:00:02;2024-03-07;1042;2024-03-05 06:55:55;105533861.47;3;8;2;8;1063;2
2024-03-07 00:00:02;2024-03-07;1086;2024-03-05 09:44:44;105533861.47;2;0;3;0;1063;2
2024-03-07 00:00:02;2024-03-07;1032;2024-03-05 06:05:57;42612072.04;5;8;3;8;1333;2
2024-03-07 00:00:02;2024-03-07;1087;2024-03-05 09:50:17;42612072.04;3;0;5;0;1333;2
2024-03-07 00:00:02;2024-03-07;1009;2024-03-05 04:36:30;22256484.12;8;0;5;0;97;2
2024-03-07 00:00:02;2024-03-07;1089;2024-03-05 09:54:41;22256484.12;5;4;8;4;97;2
2024-03-07 00:00:02;2024-03-07;985;2024-03-05 03:00:19;52626960.19;6;6;1;6;1171;2
2024-03-07 00:00:02;2024-03-07;1092;2024-03-05 10:12:23;52626960.19;1;0;6;0;1171;2
2024-03-07 00:00:02;2024-03-07;980;2024-03-05 02:47:58;85957244.76;4;0;8;0;1229;2
2024-03-07 00:00:02;2024-03-07;1093;2024-03-05 10:16:29;85957244.76;8;7;4;7;1229;2
2024-03-07 00:00:02;2024-03-07;1080;2024-03-05 09:17:12;216401369.1;7;0;2;0;711;2
2024-03-07 00:00:02;2024-03-07;1095;2024-03-05 10:46:43;216401369.1;2;7;7;7;711;2
2024-03-07 00:00:02;2024-03-07;1074;2024-03-05 09:05:15;96524693.73;3;0;8;0;594;2
2024-03-07 00:00:02;2024-03-07;1097;2024-03-05 10:50:16;96524693.73;8;4;3;4;594;2
2024-03-07 00:00:02;2024-03-07;1083;2024-03-05 09:42:54;76305406.9;3;0;8;0;142;2
2024-03-07 00:00:02;2024-03-07;1101;2024-03-05 11:08:48;76305406.9;8;8;3;8;142;2
2024-03-07 00:00:02;2024-03-07;1048;2024-03-05 07:32:18;136160655.43;7;1;3;1;1001;2
2024-03-07 00:00:02;2024-03-07;1104;2024-03-05 11:17:18;136160655.43;3;0;7;0;1001;2
2024-03-07 00:00:02;2024-03-07;958;2024-03-05 01:32:54;79826637.76;3;6;8;6;590;2
2024-03-07 00:00:02;2024-03-07;1107;2024-03-05 11:26:31;79826637.76;8;0;3;0;590;2
2024-03-07 00:00:02;2024-03-07;1008;2024-03-05 04:32:39;40772416.29;7;5;2;5;794;2
2024-03-07 00:00:02;2024-03-07;1109;2024-03-05 11:27:46;40772416.29;2;0;7;0;794;2
2024-03-07 00:00:02;2024-03-07;1091;2024-03-05 10:07:00;28041382.72;7;6;2;6;618;2
2024-03-07 00:00:02;2024-03-07;1110;2024-03-05 11:29:37;28041382.72;2;0;7;0;618;2
2024-03-07 00:00:02;2024-03-07;1088;2024-03-05 09:50:31;78758707.4;3;0;7;0;1425;2
2024-03-07 00:00:02;2024-03-07;1113;2024-03-05 11:34:43;78758707.4;7;3;3;3;1425;2
2024-03-07 00:00:02;2024-03-07;1007;2024-03-05 04:32:17;41407267.09;8;0;1;0;1142;2
2024-03-07 00:00:02;2024-03-07;1116;2024-03-05 11:50:02;41407267.09;1;1;8;1;1142;2
2024-03-07 00:00:02;2024-03-07;989;2024-03-05 03:09:07;271393799.84;6;0;5;0;1205;2
2024-03-07 00:00:02;2024-03-07;1118;2024-03-05 11:56:51;271393799.84;5;5;6;5;1205;2
2024-03-07 00:00:02;2024-03-07;1027;2024-03-05 05:46:44;147951460.73;1;0;7;0;9;2
2024-03-07 00:00:02;2024-03-07;1119;2024-03-05 11:56:54;147951460.73;7;7;1;7;9;2
2024-03-07 00:00:02;2024-03-07;992;2024-03-05 03:18:10;68689431.83;6;4;4;4;1041;2
2024-03-07 00:00:02;2024-03-07;1121;2024-03-05 12:02:24;68689431.83;4;0;6;0;1041;2
2024-03-07 00:00:02;2024-03-07;1029;2024-03-05 05:50:32;188317337.3;4;4;1;4;316;2
2024-03-07 00:00:02;2024-03-07;1123;2024-03-05 12:09:15;188317337.3;1;0;4;0;316;2
2024-03-07 00:00:02;2024-03-07;1069;2024-03-05 08:52:02;209554546.47;6;8;4;8;948;2
2024-03-07 00:00:02;2024-03-07;1125;2024-03-05 12:15:50;209554546.47;4;0;6;0;948;2
2024-03-07 00:00:02;2024-03-07;1058;2024-03-05 08:06:32;133171405.47;8;8;4;8;882;2
2024-03-07 00:00:02;2024-03-07;1126;2024-03-05 12:21:45;133171405.47;4;0;8;0;882;2
2024-03-07 00:00:02;2024-03-07;1041;2024-03-05 06:53:45;98190525.99;6;6;7;6;358;2
