TID;Starttime;Endtime;Activity
1;2024-03-02 00:07:25;2024-03-02 00:07:26;Validating
1;2024-03-02 00:07:26;2024-03-02 00:07:26;Waiting in backlog unmatched
2;2024-03-02 00:21:04;2024-03-02 00:21:05;Validating
2;2024-03-02 00:21:05;2024-03-02 00:21:05;Waiting in backlog unmatched
3;2024-03-02 00:31:07;2024-03-02 00:31:08;Validating
3;2024-03-02 00:31:08;2024-03-02 00:31:08;Waiting in backlog unmatched
4;2024-03-02 00:54:48;2024-03-02 00:54:49;Validating
4;2024-03-02 00:54:49;2024-03-02 00:54:49;Waiting in backlog unmatched
5;2024-03-02 01:31:31;2024-03-02 01:31:32;Validating
5;2024-03-02 01:31:32;2024-03-02 01:31:32;Waiting in backlog unmatched
6;2024-03-02 01:48:46;2024-03-02 01:48:47;Validating
6;2024-03-02 01:48:47;2024-03-02 01:48:47;Waiting in backlog unmatched
7;2024-03-02 01:51:05;2024-03-02 01:51:06;Validating
7;2024-03-02 01:51:06;2024-03-02 01:51:06;Waiting in backlog unmatched
8;2024-03-02 01:57:49;2024-03-02 01:57:50;Validating
8;2024-03-02 01:57:50;2024-03-02 01:57:50;Waiting in backlog unmatched
9;2024-03-02 02:02:08;2024-03-02 02:02:09;Validating
9;2024-03-02 02:02:09;2024-03-02 02:02:09;Waiting in backlog unmatched
10;2024-03-02 02:06:46;2024-03-02 02:06:47;Validating
10;2024-03-02 02:06:47;2024-03-02 02:06:47;Waiting in backlog unmatched
11;2024-03-02 02:15:35;2024-03-02 02:15:36;Validating
11;2024-03-02 02:15:36;2024-03-02 02:15:36;Waiting in backlog unmatched
12;2024-03-02 02:16:06;2024-03-02 02:16:07;Validating
12;2024-03-02 02:16:07;2024-03-02 02:16:07;Waiting in backlog unmatched
13;2024-03-02 02:18:45;2024-03-02 02:18:46;Validating
13;2024-03-02 02:18:46;2024-03-02 02:18:46;Waiting in backlog unmatched
14;2024-03-02 02:26:37;2024-03-02 02:26:38;Validating
14;2024-03-02 02:26:38;2024-03-02 02:26:38;Waiting in backlog unmatched
15;2024-03-02 02:26:39;2024-03-02 02:26:40;Validating
15;2024-03-02 02:26:40;2024-03-02 02:26:40;Waiting in backlog unmatched
16;2024-03-02 02:27:01;2024-03-02 02:27:02;Validating
16;2024-03-02 02:27:02;2024-03-02 02:27:02;Waiting in backlog unmatched
17;2024-03-02 02:27:20;2024-03-02 02:27:21;Validating
17;2024-03-02 02:27:21;2024-03-02 02:27:21;Waiting in backlog unmatched
18;2024-03-02 02:28:29;2024-03-02 02:28:30;Validating
18;2024-03-02 02:28:30;2024-03-02 02:28:30;Waiting in backlog unmatched
19;2024-03-02 02:38:01;2024-03-02 02:38:02;Validating
19;2024-03-02 02:38:02;2024-03-02 02:38:02;Waiting in backlog unmatched
20;2024-03-02 02:44:30;2024-03-02 02:44:31;Validating
20;2024-03-02 02:44:31;2024-03-02 02:44:31;Waiting in backlog unmatched
21;2024-03-02 03:01:03;2024-03-02 03:01:04;Validating
21;2024-03-02 03:01:04;2024-03-02 03:01:04;Waiting in backlog unmatched
22;2024-03-02 03:02:18;2024-03-02 03:02:19;Validating
22;2024-03-02 03:02:19;2024-03-02 03:02:19;Waiting in backlog unmatched
23;2024-03-02 03:36:15;2024-03-02 03:36:16;Validating
23;2024-03-02 03:36:16;2024-03-02 03:36:16;Waiting in backlog unmatched
24;2024-03-02 03:38:11;2024-03-02 03:38:12;Validating
24;2024-03-02 03:38:12;2024-03-02 03:38:12;Waiting in backlog unmatched
25;2024-03-02 03:39:21;2024-03-02 03:39:22;Validating
25;2024-03-02 03:39:22;2024-03-02 03:39:22;Waiting in backlog unmatched
26;2024-03-02 03:41:15;2024-03-02 03:41:16;Validating
26;2024-03-02 03:41:16;2024-03-02 03:41:16;Waiting in backlog unmatched
27;2024-03-02 03:45:23;2024-03-02 03:45:24;Validating
27;2024-03-02 03:45:24;2024-03-02 03:45:24;Waiting in backlog unmatched
28;2024-03-02 03:51:03;2024-03-02 03:51:04;Validating
28;2024-03-02 03:51:04;2024-03-02 03:51:04;Waiting in backlog unmatched
29;2024-03-02 03:52:32;2024-03-02 03:52:33;Validating
13;2024-03-02 03:52:33;2024-03-02 03:52:34;Matching
29;2024-03-02 03:52:33;2024-03-02 03:52:34;Matching
30;2024-03-02 03:55:07;2024-03-02 03:55:08;Validating
30;2024-03-02 03:55:08;2024-03-02 03:55:08;Waiting in backlog unmatched
31;2024-03-02 03:55:57;2024-03-02 03:55:58;Validating
31;2024-03-02 03:55:58;2024-03-02 03:55:58;Waiting in backlog unmatched
32;2024-03-02 03:57:51;2024-03-02 03:57:52;Validating
32;2024-03-02 03:57:52;2024-03-02 03:57:52;Waiting in backlog unmatched
33;2024-03-02 03:58:54;2024-03-02 03:58:55;Validating
2;2024-03-02 03:58:55;2024-03-02 03:58:56;Matching
33;2024-03-02 03:58:55;2024-03-02 03:58:56;Matching
34;2024-03-02 03:59:26;2024-03-02 03:59:27;Validating
34;2024-03-02 03:59:27;2024-03-02 03:59:27;Waiting in backlog unmatched
35;2024-03-02 04:02:33;2024-03-02 04:02:34;Validating
35;2024-03-02 04:02:34;2024-03-02 04:02:34;Waiting in backlog unmatched
36;2024-03-02 04:12:39;2024-03-02 04:12:40;Validating
14;2024-03-02 04:12:40;2024-03-02 04:12:41;Matching
36;2024-03-02 04:12:40;2024-03-02 04:12:41;Matching
37;2024-03-02 04:13:01;2024-03-02 04:13:02;Validating
9;2024-03-02 04:13:02;2024-03-02 04:13:03;Matching
37;2024-03-02 04:13:02;2024-03-02 04:13:03;Matching
38;2024-03-02 04:13:48;2024-03-02 04:13:49;Validating
38;2024-03-02 04:13:49;2024-03-02 04:13:49;Waiting in backlog unmatched
39;2024-03-02 04:17:50;2024-03-02 04:17:51;Validating
39;2024-03-02 04:17:51;2024-03-02 04:17:51;Waiting in backlog unmatched
40;2024-03-02 04:20:59;2024-03-02 04:21:00;Validating
