FromParticipantId;Value_settled;Value_input;settled_input_ratio
1;2834081172.05;2834081172.05;1.0
10;2921029847.84;2921029847.84;1.0
11;4026368400.87;4130173773.25;0.9748665847785101
12;4663178711.03;4663178711.03;1.0
13;1831984000.79;1831984000.79;1.0
14;3331688344.21;3536408407.27;0.9421107407619705
15;3357529087.39;3675075319.15;0.9135946329847071
16;3077961125.79;3077961125.79;1.0
17;4157772519.45;4157772519.45;1.0
18;3481484100.87;3481484100.87;1.0
19;4237461223.7400002;4359575230.78;0.9719894713187112
2;6896954274.66;6896954274.66;1.0
20;2998122649.54;3711030456.14;0.8078949189380877
21;2733762696.34;3025318898.7999997;0.903627943958025
22;3682651472.63;3682651472.63;1.0
23;2847930308.26;2847930308.26;1.0
24;4064756854.1;4064756854.1;1.0
25;3361481253.94;3361481253.94;1.0
26;3524130959.74;3524130959.74;1.0
27;6311718794.360001;6394324850.38;0.9870813482341156
28;4575151892.24;4575151892.24;1.0
29;3100825894.92;3100825894.92;1.0
3;4717186565.33;4717186565.33;1.0
30;3816893548.69;3816893548.69;1.0
4;4734253699.54;4734253699.54;1.0
5;2620019642.82;2620019642.82;1.0
6;3175113784.3;3175113784.3;1.0
7;6661865546.28;6661865546.28;1.0
8;3301804577.2799997;3301804577.2799997;1.0
9;3562831130.1;3562831130.1;1.0
